설치장소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,그늘막유형,세부위치,설치년도,전체높이,펼침지름,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
서홍새마을금고 앞,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 서홍동 253-10,33.2640769,126.5584863,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
솜반천 교차로 인근 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 서홍동 1211,33.25249286,126.5538925,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
서귀포시노인복지지원센터 앞 횡단보도 1,제주특별자치도,서귀포시,제주특별자치도 서귀포시 서호남로 11 (서호동),제주특별자치도 서귀포시 서호동 1528,33.25131497,126.5138568,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
서귀포시청 2청사 정문 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 서호동 1491,33.24528202,126.5221744,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
새서귀초등학교 인근 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 서호동 1484-1,33.25249233,126.5129883,접이식그늘막,,2024,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
구) 밸류호텔 앞 교차로 1,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 서호동 1478-2,33.25393725,126.5116557,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
새서귀초등학교 인근 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 서호동 1463-5,33.254013,126.5130041,접이식그늘막,,2024,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
수모루 교차로,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 서호동 137-3,33.2472524,126.5241255,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
만부성 앞 교통섬,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 서귀동 87-2,33.2446541,126.5691547,접이식그늘막,,2022,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
서귀포등기소 방면 횡단보도,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중앙로 93 (서귀동),제주특별자치도 서귀포시 서귀동 301-9,33.2528327,126.5603791,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
법무사 이기혁 사무소 방면 횡단보도,제주특별자치도,서귀포시,제주특별자치도 서귀포시 일주동로 8697 (서귀동),제주특별자치도 서귀포시 서귀동 301-3,33.2526995,126.5593023,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
동산프라자 약국 앞 횡단보도,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중앙로 86 (서귀동),제주특별자치도 서귀포시 서귀동 287-3,33.2522735,126.5613173,접이식그늘막,,2018,3.4,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
던킨 도넛츠 앞 횡단보도,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중앙로 88 (서귀동),제주특별자치도 서귀포시 서귀동 284-9,33.2526418,126.5616506,접이식그늘막,,2018,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
워너비 안경점 앞 횡단보도,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중앙로 94 (서귀동),제주특별자치도 서귀포시 서귀동 284-2,33.2530265,126.5615708,접이식그늘막,,2018,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
돈내코휴계소 옆,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 상효동 1300-17,33.2925042,126.5948098,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
상예2 우남동마을 일주도로변 횡단보도(상예동 1715-4번지,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 상예동 4999,33.24679906,126.3927509,접이식그늘막,,2024,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
상예2마을 일주도로변 횡단보도2(상예동 4631-9번지 인근),제주특별자치도,서귀포시,,제주특별자치도 서귀포시 상예동 4999,33.24679906,126.3927509,접이식그늘막,,2024,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
상예2마을 일주도로변 횡단보도(상예동 4629-12번지 인근),제주특별자치도,서귀포시,,제주특별자치도 서귀포시 상예동 4999,33.24679906,126.3927509,접이식그늘막,,2024,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
예래초등학교 정문 앞,제주특별자치도,서귀포시,제주특별자치도 서귀포시 열리로 51 (상예동),제주특별자치도 서귀포시 상예동 4999,33.24679906,126.3927509,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
상예2 우남동마을 일주도로변 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 상예동 1719-2,33.2644468,126.3911162,접이식그늘막,,2024,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
이마트 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 법환동 816-9,33.24840025,126.5113685,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
관광안내소 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 법환동 816-9,33.24840025,126.5113685,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
서귀포시청 2청사 정문 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 법환동 754,33.25402045,126.5092806,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
새서귀새마을금고 맞은편 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 법환동 753,33.25324147,126.5112516,접이식그늘막,,2024,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
서귀포시청 2청사 정문 맞은편 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 법환동 753,33.25324147,126.5112516,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
구) 밸류호텔 앞 교차로 2,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 법환동 748-2,33.25058099,126.5102139,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
서귀포시노인복지지원센터 앞 횡단보도 2,제주특별자치도,서귀포시,제주특별자치도 서귀포시 서호남로 10 (법환동),제주특별자치도 서귀포시 법환동 1666-1,33.2501736,126.5133726,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
법환초등학교 건너편,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 법환동 1298-1,33.2366643,126.5096348,접이식그늘막,,2022,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
법환초등학교앞,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 법환동 1289-1,33.2367339,126.5090104,접이식그늘막,,2022,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
동홍약국 앞,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 동홍동 657-6,33.25379175,126.5719558,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
동홍초 정문,제주특별자치도,서귀포시,제주특별자치도 서귀포시 동홍북로 52 (동홍동),제주특별자치도 서귀포시 동홍동 64-4,33.2588688,126.5738293,접이식그늘막,,2021,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
위성곤 사무실 앞 교통섬,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 동홍동 447-5,33.25413635,126.5675354,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
스피드011 앞,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 동홍동 447-5,33.25413635,126.5675314,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
롤링코바코 앞 교통섬,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 동홍동 447-28,33.25415923,126.5677794,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
동홍동GM대우 앞,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 동홍동 447-25,33.25459862,126.5678334,접이식그늘막,,2020,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
GS 25 편의점 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 동홍동 1542-10,33.25347213,126.5618079,접이식그늘막,,2018,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
홍로주차장과 서홍동주민센터 사이,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 동홍동 1460-9,33.256092,126.5606197,접이식그늘막,,2021,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
대천동주민센터 앞 횡단보도,제주특별자치도,서귀포시,제주특별자치도 서귀포시 도순로 44 (도순동),제주특별자치도 서귀포시 도순동 272-1,33.25076206,126.4775399,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
대천동주민센터 인근 횡단보도,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중산간서로446번길 32 (도순동),제주특별자치도 서귀포시 도순동 1368,33.2656235,126.4692706,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
대정중학교 정문 앞,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 대정읍 하모리 791-2,33.2200296,126.2550062,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
휴먼시아아파트 입구,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 대정읍 하모리 1383-5,33.2271035,126.2515923,접이식그늘막,,2020,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
휴먼시아아파트 입구,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 대정읍 하모리 1383-5,33.22710441,126.2515923,접이식그늘막,,2020,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
태흥초 정문,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 태위로 915,제주특별자치도 서귀포시 남원읍 태흥리 970-3,33.28622541,126.7434137,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
의귀초등학교 앞,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 한신로 220,제주특별자치도 서귀포시 남원읍 의귀리 1486-3,33.3097015,126.7147614,접이식그늘막,,2022,3.4,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
위미2리 교차로 교통섬 북측,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 남원읍 위미리 2794-1,33.27762866,126.6621487,접이식그늘막,,2022,3.4,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
위미2리 교차로 교통섬 남측,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 남원읍 위미리 2794-1,33.27762866,126.6621487,접이식그늘막,,2022,3.4,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
신흥교차로 횡단보도 1,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 남원읍 신흥리 184-7,33.30151919,126.7679277,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
흥산초등학교 앞,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 남원읍 신흥리 173-8,33.29989618,126.7660948,접이식그늘막,,2022,3.4,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
신흥교차로 횡단보도 2,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 남원읍 신흥리 163-5,33.30120043,126.7679011,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
흥산초등학교 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 남원읍 신흥리 138-5,33.29959772,126.7660536,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
남원교차로,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 일주동로 7105,제주특별자치도 서귀포시 남원읍 남원리 223-1,33.2834904,126.721016,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
남원중학교 4가,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 남한로 36,제주특별자치도 서귀포시 남원읍 남원리 171-1,33.28225502,126.7175237,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
용흥 경로당 인근 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 강정동 4029-1,33.2501437,126.4829698,접이식그늘막,,2024,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
이마트방면 횡단보도,제주특별자치도,서귀포시,제주특별자치도 서귀포시 일주서로 7 (강정동),제주특별자치도 서귀포시 강정동 231-1,33.2493759,126.5073568,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
바다어린이공원 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 강정동 216,33.25237365,126.5046475,접이식그늘막,,2024,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
대신중학교 인근 횡단보도 1,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 강정동 186,33.2583499,126.5102798,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
빠레브호텔 앞 횡단보도,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 강정동 173,33.25238517,126.5066585,접이식그늘막,,2024,3.3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
강정마트 앞 사거리,제주특별자치도,서귀포시,제주특별자치도 서귀포시 김정문화로 1 (강정동),제주특별자치도 서귀포시 강정동 172-12,33.25264602,126.5049565,접이식그늘막,,2019,3.4,3.5,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
대신중학교 인근 횡단보도 2,제주특별자치도,서귀포시,,제주특별자치도 서귀포시 강정동 148,33.25528485,126.507039,접이식그늘막,,2023,3,3,제주특별자치도 서귀포시 안전총괄과,064-760-3282,2026-01-27,6520000,제주특별자치도 서귀포시
임학사거리 KGM인천계양점 앞,인천광역시,계양구,인천광역시 계양구 경명대로 1165,인천광역시 계양구 임학동 73-9,37.543109,126.736591,스마트그늘막,,2026,3,4.4,인천광역시 계양구,032-450-5919,2026-05-01,3550000,인천광역시 계양구
제일풍경채 앞(새말사거리 방면),인천광역시,계양구,,인천광역시 계양구 효성동 504-1,37.525417,126.705249,스마트그늘막,,2025,3,5.4,인천광역시 계양구,032-450-5919,2026-05-01,3550000,인천광역시 계양구
효성문화공원 앞 횡단보도,인천광역시,계양구,,인천광역시 계양구 효성동 328-1,37.525454,126.710646,스마트그늘막,,2025,3,5.4,인천광역시 계양구,032-450-5919,2026-05-01,3550000,인천광역시 계양구
힐스테이트자이 101동 앞 횡단보도,인천광역시,계양구,"인천광역시 계양구 봉오대로651번길 9   (작전동, 힐스테이트자이계양)",인천광역시 계양구 작전동 0,37.530777,126.717602,접이식그늘막,,2025,4.5,5,인천광역시 계양구,032-450-5919,2026-05-01,3550000,인천광역시 계양구
귤현교회 맞은편,인천광역시,계양구,인천광역시 계양구 양지로 144   (귤현동),인천광역시 계양구 귤현동 497-13,37.5673005669,126.747914,스마트그늘막,,2024,3,4.4,인천광역시 계양구,032-450-5919,2026-05-01,3550000,인천광역시 계양구
학마을 어린이공원 맞은편,인천광역시,계양구,,인천광역시 계양구 병방동 433-4,37.544924241,126.7450185279,접이식그늘막,,2024,3.4,3,인천광역시 계양구,032-450-5919,2026-05-01,3550000,인천광역시 계양구
계양농협 병방지점 앞,인천광역시,계양구,인천광역시 계양구 장제로 908   (병방동),인천광역시 계양구 병방동 434-1,37.547577,126.7410353591,접이식그늘막,,2024,3.4,4,인천광역시 계양구,032-450-5919,2026-05-01,3550000,인천광역시 계양구
건축자재백화점 앞,인천광역시,계양구,인천광역시 계양구 병방시장로 81-2    (병방동),인천광역시 계양구 병방동 430,37.5479922709,126.7409224215,접이식그늘막,,2024,3.4,4,인천광역시 계양구,032-450-5919,2026-05-01,3550000,인천광역시 계양구
태평수산 맞은편,인천광역시,계양구,인천광역시 계양구 장제로1001번길 12   (박촌동),인천광역시 계양구 박촌동 18-2,37.5554656453,126.7442582445,접이식그늘막,,2024,3.4,4,인천광역시 계양구,032-450-5919,2026-05-01,3550000,인천광역시 계양구
계양역 건너편 횡단보도,인천광역시,계양구,,인천광역시 계양구 귤현동 451-482,37.5707140389,126.7366078147,접이식그늘막,,2024,3.4,4,인천광역시 계양구,032-450-5919,2026-05-01,3550000,인천광역시 계양구
